name,studentId,email,courseCode
Amalia Nghifikepunye,STU-2026-001,amalia.nghifikepunye@uni.edu,CS-50
Petrus Shivute,STU-2026-002,petrus.shivute@uni.edu,CS-50
Selma Haikela,STU-2026-003,selma.haikela@uni.edu,CS-50
Michael Uanivi,STU-2026-004,michael.uanivi@uni.edu,CS-50
Anna Shaningwa,STU-2026-005,anna.shaningwa@uni.edu,CS-50
Paulus Hamutenya,STU-2026-006,paulus.hamutenya@uni.edu,CS-50
Loide Kadhikwa,STU-2026-007,loide.kadhikwa@uni.edu,CS-50
Tobias Ashipala,STU-2026-008,tobias.ashipala@uni.edu,CS-50
Helena Ndeshi,STU-2026-009,helena.ndeshi@uni.edu,CS-50
Elago Iileka,STU-2026-010,elago.iileka@uni.edu,CS-50
Maria Nambahu,STU-2026-011,maria.nambahu@uni.edu,CS-50
Sakaria Amutenya,STU-2026-012,sakaria.amutenya@uni.edu,CS-50
Ndinelago Kamati,STU-2026-013,ndinelago.kamati@uni.edu,CS-50
John Haufiku,STU-2026-014,john.haufiku@uni.edu,CS-50
Lydia Mwashindange,STU-2026-015,lydia.mwashindange@uni.edu,CS-50
Selma Angula,STU-2026-016,selma.angula@uni.edu,CS-50
Tangeni Neshuku,STU-2026-017,tangeni.neshuku@uni.edu,CS-50
Justina Sheehama,STU-2026-018,justina.sheehama@uni.edu,CS-50
David Ndeutapo,STU-2026-019,david.ndeutapo@uni.edu,CS-50
Monica Kalimbo,STU-2026-020,monica.kalimbo@uni.edu,CS-50
Nghipandulwa Paulus,STU-2026-021,nghipandulwa.paulus@uni.edu,CS-50
Veronica Alweendo,STU-2026-022,veronica.alweendo@uni.edu,CS-50
Ben-Hur Nambala,STU-2026-023,benhur.nambala@uni.edu,CS-50
Naemi Kakololo,STU-2026-024,naemi.kakololo@uni.edu,CS-50
Risto Iita,STU-2026-025,risto.iita@uni.edu,CS-50
Fillemon Nankela,STU-2026-026,fillemon.nankela@uni.edu,CS-50
Alinafe Niilenge,STU-2026-027,alinafe.niilenge@uni.edu,CS-50
Jason Shikongo,STU-2026-028,jason.shikongo@uni.edu,CS-50
Beata Amunyela,STU-2026-029,beata.amunyela@uni.edu,CS-50
Erastus Nandjila,STU-2026-030,erastus.nandjila@uni.edu,CS-50
